source_id,target_id,rel_type,rel_subtype,rel_desc_chn,direction,year_start,year_end,weight,evidence_level,source_ref,cbdb_assoc_code,cbdb_role_type,primary_rel,is_bridge
31560,31162,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
31560,31367,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,1,0
31560,31542,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,1
31560,31561,KIN,K_SIBLING,弟,undirected,,,0.9,inferred,,126,KIN,1,1
31560,31640,LITERARY,LI_EDIT,編輯Y之詩/文,directed,,,0.4,primary,舊唐書,341,A,0,1
31560,32085,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,1
31560,32189,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,1
31560,32198,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,0
31560,32593,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,新唐書,9,M,0,0
31560,32593,COLLEAGUE,CL_TONGLIAO,同僚,undirected,,,0.8,primary,舊唐書,197,M,1,0
31560,32593,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,0
31560,92076,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
31560,92423,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
31560,92452,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,新唐書,9,M,1,0
31560,92452,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,0
31560,92999,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,1
